tag,floor,guide,cost,balance,conservation,config
W8A8_rmse_span1,W8A8,rmse,0.0874126,0.340313,0.238601,bf16:adaln|b6-11_attn|embed|head
W8A8_rmse_span2,W8A8,rmse,0.502225,0.25803,0.203025,bf16:adaln|b0-5_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head
W8A8_rmse_span3,W8A8,rmse,0.66815,0.0262131,0.0328402,bf16:adaln|b0-5_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
W8A8_rmseup_span1,W8A8,rmse,0.3363,0.270149,0.203461,bf16:adaln|b0-5_mlp|b18-23_attn|b6-11_attn|embed|head
W8A8_rmseup_span3,W8A8,rmse,0.834075,0.0110405,0.0067005,bf16:adaln|b0-5_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
W8A8_probe_divergent,W8A8,probe,,,,bf16:b18-23_mlp|head
W8A8_probe_rmse_favoured,W8A8,probe,,,,bf16:b6-11_attn|b6-11_mlp
W8A8_rand_0,W8A8,random,0.502225,,,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|embed|head
W8A8_rand_1,W8A8,random,0.502225,,,bf16:adaln|b0-5_attn|b0-5_mlp|b18-23_attn|b18-23_mlp|embed|head
W8A8_rand_2,W8A8,random,0.502225,,,bf16:adaln|b0-5_attn|b12-17_mlp|b18-23_attn|b6-11_mlp|embed|head
W8A8_rand_3,W8A8,random,0.502163,,,bf16:b0-5_attn|b12-17_mlp|b6-11_attn|b6-11_mlp|embed|head
W8A8_sq_floor,W8A8_sq,uniform,0,0.900889,0.341421,
W8A8_sq_knee,W8A8_sq,physics,0.00438848,0.126629,0.174518,bf16:embed|head
W8A8_sq_span1,W8A8_sq,physics,0.253338,0.0509651,0.0371451,bf16:adaln|b18-23_attn|b18-23_mlp|embed|head
W8A8_sq_span2,W8A8_sq,physics,0.502225,0.0265558,0.0057605,bf16:adaln|b0-5_attn|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
W8A8_sq_span3,W8A8_sq,physics,0.751113,0.00884655,0.0132595,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
W8A8_sq_rmse_knee,W8A8_sq,rmse,0.00351838,0.398553,0.199902,bf16:adaln|embed
W8A8_sq_rmse_span1,W8A8_sq,rmse,0.253338,0.0883774,0.119595,bf16:adaln|b0-5_mlp|b18-23_attn|embed|head
W8A8_sq_rmse_span3,W8A8_sq,rmse,0.751113,0.0166812,0.0108211,bf16:adaln|b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
W8A8_sq_rmseup_knee,W8A8_sq,rmse,0.00445009,0.11928,0.155889,bf16:adaln|embed|head
W8A8_sq_rmseup_span2,W8A8_sq,rmse,0.66815,0.0264636,0.0307723,bf16:adaln|b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_mlp|embed|head
