tag,floor,guide,lead,balance,conservation
W8A8_rmseup_span3,W8A8,rmse,72,0.002282912262008049,0.0008578169911194903
W8A8_rmseup_span3,W8A8,rmse,120,0.009412272108795212,0.021690217014335888
W8A8_rmseup_span3,W8A8,rmse,168,0.02123834086920168,6.311477592399321e-05
W8A8_probe_divergent,W8A8,probe,24,0.43006801153877455,0.2069704072701221
W8A8_probe_divergent,W8A8,probe,72,0.5040817754837323,0.06696330993852305
W8A8_probe_divergent,W8A8,probe,120,0.7647506334782719,0.5258020772296206
W8A8_probe_divergent,W8A8,probe,168,0.7604056323159304,0.4196500450138303
W8A8_probe_rmse_favoured,W8A8,probe,24,0.4967871429037876,0.042073659591426185
W8A8_probe_rmse_favoured,W8A8,probe,72,0.6649348966139782,0.06799703372801691
W8A8_probe_rmse_favoured,W8A8,probe,120,1.118629707950609,0.08098284989959173
W8A8_probe_rmse_favoured,W8A8,probe,168,1.3067017091053006,0.04114357523433398
W8A8_rand_0,W8A8,random,24,0.07677755906832115,0.06185982887427542
W8A8_rand_0,W8A8,random,72,0.15139846651747493,0.08252540851312275
W8A8_rand_0,W8A8,random,120,0.30736328780170835,0.17291008375482078
W8A8_rand_0,W8A8,random,168,0.4561027550662266,0.21237243594740107
W8A8_rand_1,W8A8,random,24,0.026673858074799394,0.009691687954289001
W8A8_rand_1,W8A8,random,72,0.03727050374668738,0.006788876304863106
W8A8_rand_1,W8A8,random,120,0.05171324327996108,0.06230493507846904
W8A8_rand_1,W8A8,random,168,0.027255353866450453,0.02979627495910816
W8A8_rand_2,W8A8,random,24,0.09255509110166628,0.05394143723384745
W8A8_rand_2,W8A8,random,72,0.1810319335448255,0.09320179646134584
W8A8_rand_2,W8A8,random,120,0.3482108707243608,0.1601405531896073
W8A8_rand_2,W8A8,random,168,0.49102034306310777,0.21450115698725472
W8A8_rand_3,W8A8,random,24,0.09038984196654644,0.06290570957954617
W8A8_rand_3,W8A8,random,72,0.1683902294165367,0.11081974261904166
W8A8_rand_3,W8A8,random,120,0.3526484574241506,0.1223964760598964
W8A8_rand_3,W8A8,random,168,0.506491163519981,0.2645535102984938
