tag,floor,guide,cost,balance,conservation,config
W8A8_rmseup_span3,W8A8,rmse,0.832841,0,0.204606,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_mlp|encoder_io|film|upsample
W8A8_probe_divergent,W8A8,probe,,,,bf16:dec2_attn|upsample
W8A8_probe_rmse_favoured,W8A8,probe,,,,bf16:encoder_io|film
W8A8_rand_0,W8A8,random,0.494691,0,0,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_mlp|decoder_io|downsample|enc0_attn|enc1_attn|film
W8A8_rand_1,W8A8,random,0.490949,0,0,bf16:dec0_attn|dec2_attn|decoder_heads|decoder_io|enc1_mlp|enc2_attn|enc2_mlp|encoder_io
W8A8_rand_2,W8A8,random,0.49624,0,0,bf16:cond_embed|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|film
W8A8_rand_3,W8A8,random,0.496693,0,0,bf16:dec0_attn|dec2_attn|decoder_heads|decoder_io|downsample|enc1_mlp|enc2_attn|enc2_mlp|encoder_io
W8A8_sq_floor,W8A8_sq,uniform,0,10.6235,5.30248,
W8A8_sq_knee,W8A8_sq,physics,0.00154814,6.5853,5.21973,bf16:decoder_heads
W8A8_sq_span1,W8A8_sq,physics,0.229151,0.50317,0.520155,bf16:cond_embed|dec2_mlp|decoder_heads|decoder_io|downsample|encoder_io|film|upsample
W8A8_sq_span2,W8A8_sq,physics,0.389978,0.0614529,0.260077,bf16:cond_embed|dec0_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|encoder_io|film|upsample
W8A8_sq_span3,W8A8_sq,physics,0.585269,0.247125,0.0836612,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc1_mlp|encoder_io|film|upsample
W8A8_sq_rmse_knee,W8A8_sq,rmse,0.000718363,10.3038,5.23974,bf16:cond_embed
W8A8_sq_rmse_span1,W8A8_sq,rmse,0.160222,0.590407,1.04667,bf16:cond_embed|decoder_heads|decoder_io|downsample|encoder_io|upsample
W8A8_sq_rmse_span2,W8A8_sq,rmse,0.378488,0.272908,0.763863,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc2_mlp|encoder_io|upsample
W8A8_sq_rmse_span3,W8A8_sq,rmse,0.51634,0,0.292814,bf16:cond_embed|dec0_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc2_mlp|encoder_io|upsample
W8A8_sq_rmseup_knee,W8A8_sq,rmse,0.00226651,6.26558,5.15699,bf16:cond_embed|decoder_heads
W8A8_sq_rmseup_span1,W8A8_sq,rmse,0.252124,0.334361,0.814787,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|encoder_io|upsample
W8A8_sq_rmseup_span3,W8A8_sq,rmse,0.608242,0,0.292814,bf16:cond_embed|dec0_mlp|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc2_mlp|encoder_io|upsample
W4W8_floor,W4,uniform,6.27646e+08,127.842,39.0043,
W4W8_knee,W4,physics,6.2772e+08,41.0255,34.8594,W8:decoder_heads
W4W8_span1,W4,physics,8.81099e+08,1.15075,0.72567,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|encoder_io|upsample;W8:dec0_attn|dec1_attn|dec1_mlp|dec2_mlp|enc1_attn
W4W8_span2,W4,physics,1.15163e+09,0,0.194603,bf16:cond_embed|dec1_attn|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample;W8:dec0_attn|dec1_mlp|dec2_mlp|film
W4W8_span3,W4,physics,1.40748e+09,0,0.0527429,bf16:cond_embed|dec1_attn|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample;W8:dec0_attn|dec0_mlp|dec1_mlp|dec2_mlp
W4W8_rmse_span1,W4,rmse,8.59079e+08,0.0617872,4.31765,bf16:cond_embed|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|encoder_io|upsample;W8:dec1_attn|dec1_mlp|enc1_attn|enc1_mlp
W4W8_rmse_span2,W4,rmse,1.11074e+09,0,3.93117,bf16:cond_embed|dec1_attn|dec1_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample
W4W8_rmseup_span1,W4,rmse,9.42965e+08,0.0617872,4.10486,bf16:cond_embed|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_mlp|encoder_io|upsample;W8:dec1_attn|dec1_mlp|enc1_attn
