layer,group,C,tensor_max,outlier_ratio,kurtosis,frac_outlier_ch
backbone.encoder_layers.0.blocks.1.attn.qkv,encoder/attn,512,31.49,9.318,49.88,0.009766
backbone.encoder_layers.0.blocks.0.mlp.fc1,encoder/mlp,512,31.49,8.645,49.04,0.007812
decoder.level_decoder.layers.0.1.net.2,decoder/misc,2048,32.86,8.404,78.93,0.0009766
backbone.encoder_layers.0.blocks.0.attn.qkv,encoder/attn,512,31.48,8.273,46.31,0.003906
backbone.encoder_layers.1.blocks.4.mlp.fc1,encoder/mlp,1024,16.63,8.077,102.9,0.001953
backbone.encoder_layers.1.blocks.4.attn.qkv,encoder/attn,1024,15.39,7.504,83.53,0.001953
backbone.decoder_layers.1.blocks.8.mlp.fc2,decoder/mlp,4096,16.88,7.152,59.84,0.0002441
backbone.encoder_layers.1.blocks.3.mlp.fc1,encoder/mlp,1024,14.35,6.973,64.32,0.001953
backbone.encoder_layers.1.blocks.2.attn.qkv,encoder/attn,1024,14.32,6.938,43.23,0.0009766
backbone.encoder_layers.1.blocks.1.mlp.fc1,encoder/mlp,1024,14.6,6.932,40.89,0.0009766
backbone.encoder_layers.1.blocks.2.mlp.fc1,encoder/mlp,1024,14.33,6.932,49.51,0.0009766
backbone.encoder_layers.1.blocks.3.attn.qkv,encoder/attn,1024,14.34,6.919,56.9,0.0009766
backbone.decoder_layers.2.blocks.4.mlp.fc2,decoder/mlp,2048,33,6.769,99.36,0.0004883
backbone.encoder_layers.1.blocks.1.attn.qkv,encoder/attn,1024,14.59,6.732,35.28,0.0009766
backbone.encoder_layers.1.blocks.0.mlp.fc1,encoder/mlp,1024,14.58,6.6,31.52,0.0009766
backbone.encoder_layers.0.blocks.0.mlp.fc2,encoder/mlp,2048,21.12,6.531,28.12,0.0004883
backbone.time_mlp.2,backbone/mlp,512,0.03687,6.392,3.764,0.001953
backbone.encoder_layers.1.blocks.0.attn.qkv,encoder/attn,1024,14.56,6.34,33.07,0.0009766
backbone.encoder_layers.1.blocks.0.mlp.fc2,encoder/mlp,4096,21.88,6.278,212.3,0.0002441
backbone.encoder_layers.1.blocks.2.mlp.fc2,encoder/mlp,4096,16,6.095,109.3,0.0002441
backbone.encoder_layers.2.blocks.3.mlp.fc2,encoder/mlp,8192,14.81,5.78,605,0
backbone.decoder_layers.2.blocks.1.mlp.fc2,decoder/mlp,2048,21.5,5.686,770.1,0
encoder.surf_mlp.net.2,encoder/mlp,2048,17.16,5.659,74.53,0
backbone.encoder_layers.0.blocks.3.mlp.fc2,encoder/mlp,2048,18.12,5.604,84.37,0
backbone.encoder_layers.2.blocks.6.mlp.fc2,encoder/mlp,8192,14.69,5.529,462.7,0
backbone.decoder_layers.1.blocks.0.mlp.fc1,decoder/mlp,1024,5.768,5.494,9.828,0
backbone.decoder_layers.1.blocks.6.mlp.fc2,decoder/mlp,4096,11.56,5.481,33.53,0
