card,scheme,metric,block,order,lead,fp32_mean,quant_mean,pct_diff,sigma,floor_measured,at_floor
physics,W4,|RQE| Z500,EXTREMES,21,24,0.0009112445634855248,0.0010842541694728424,18.986078262629427,2.898171821490247e-07,True,False
physics,W4,|RQE| T850,EXTREMES,22,24,0.001539781979226973,0.001300703650122159,-15.526764979081,2.234275675715601e-07,True,False
physics,W4,|RQE| Q700,EXTREMES,23,24,0.07520997626706957,0.043972274207044394,-41.53398739164673,3.1508148667660163e-06,True,False
physics,W4,RMSE Z500,RMSE,0,72,141.37038254411436,163.67194230244672,15.775270149936249,0.00022573268159906915,True,False
physics,W4,RMSE T850,RMSE,1,72,1.0007906255739705,1.1992700410629975,19.832261655648075,8.134131735943732e-07,True,False
physics,W4,RMSE Q700,RMSE,2,72,0.0007492909642413027,0.0008478432039221139,13.152732968106811,6.469719587488378e-10,True,False
physics,W4,|Vag| 50hPa,BALANCE,3,72,3.079332035779953,5.123722946643829,66.39072653125109,0.0,False,False
physics,W4,|Vag| 250hPa,BALANCE,4,72,5.346157348155975,7.0594530463218685,32.047236670968026,2.0327466599484707e-05,True,False
physics,W4,|Vag| 500hPa,BALANCE,5,72,2.5715263366699217,3.8370167195796965,49.2116438732866,9.827918194709939e-06,True,False
physics,W4,|Vag| 850hPa,BALANCE,6,72,2.596181744337082,3.111933559179306,19.865782353920608,1.8495194455410569e-06,True,False
physics,W4,Vag/Vg 50hPa,BALANCE,7,72,0.21255174688994885,0.3409156732261181,60.39184726278969,0.0,False,False
physics,W4,Vag/Vg 250hPa,BALANCE,8,72,0.20418094024062156,0.26375808753073215,29.17860365414156,7.221673397307701e-07,True,False
physics,W4,Vag/Vg 500hPa,BALANCE,9,72,0.16148294247686862,0.2323045488446951,43.857019993285796,5.726484542197369e-07,True,False
physics,W4,Vag/Vg 850hPa,BALANCE,10,72,0.2766478732228279,0.31728241965174675,14.688183196763442,1.3366658636864196e-07,True,False
physics,W4,HypsRel 600-500,BALANCE,11,72,0.0021452943449796224,0.0052111003983644506,142.90841070640818,8.306551877830333e-09,True,False
physics,W4,|DryAir Md err|,CONSERVATION,12,72,42829604144947.2,49401062376678.4,15.34326165960247,415583942.2638297,True,False
physics,W4,neg-q fraction,CONSERVATION,13,72,0.003831012579757953,0.044455133844166994,1060.4016671481593,2.2975034377676376e-07,True,False
physics,W4,|neg-q mass|,CONSERVATION,14,72,256375649689.6,12109126749388.8,4623.1969042495275,525926.4,True,False
physics,W4,SpecDivW1 Z500,SPECTRAL,15,72,0.04734305516816376,0.028511171737847934,-39.77749928352635,2.33399840126877e-07,True,False
physics,W4,SpecDivW1 T850,SPECTRAL,16,72,0.13077276279079944,0.07384415611336541,-43.53246460694892,3.9740140702118675e-07,True,False
physics,W4,SpecDivW1 Q700,SPECTRAL,17,72,1.5847931131531516,1.0147587476433948,-35.96900824332833,3.968573588510551e-06,True,False
physics,W4,SpecResLog Z500,SPECTRAL,18,72,0.5251080348901255,0.25394789476107016,-51.63892420457694,4.040530647911618e-06,True,False
physics,W4,SpecResLog T850,SPECTRAL,19,72,0.29112383586683566,0.20604806390514535,-29.22322444274375,1.0364740602642155e-06,True,False
physics,W4,SpecResLog Q700,SPECTRAL,20,72,0.4695301406040895,0.2912675325003555,-37.96616930158826,1.6904693037880838e-06,True,False
physics,W4,|RQE| Z500,EXTREMES,21,72,0.002052200911384716,0.003606949036839069,75.76003484012155,2.409237377504085e-07,True,False
physics,W4,|RQE| T850,EXTREMES,22,72,0.001675813118708902,0.002233839010295924,33.298813892622,3.0993207783854386e-07,True,False
physics,W4,|RQE| Q700,EXTREMES,23,72,0.1477331225760281,0.05260921799344942,-64.38901643984742,3.928294841279375e-06,True,False
physics,W4,RMSE Z500,RMSE,0,120,297.1992938010881,331.08951601023773,11.403197422074607,0.0007873535156249999,True,False
physics,W4,RMSE T850,RMSE,1,120,1.6138719931665446,1.895521052078466,17.451759501650663,2.256352850731383e-06,True,False
physics,W4,RMSE Q700,RMSE,2,120,0.0009838760755593553,0.0011270497801963014,14.552005907405434,1.2325162583209099e-09,True,False
physics,W4,|Vag| 50hPa,BALANCE,3,120,3.6825262308120728,6.892871785163879,87.17780548283724,0.0,False,False
physics,W4,|Vag| 250hPa,BALANCE,4,120,5.351528131961823,8.4018430352211,56.998951104103774,2.100518409242021e-05,True,False
physics,W4,|Vag| 500hPa,BALANCE,5,120,2.5819884300231934,4.642342805862427,79.7971962957528,9.123822476001495e-06,True,False
physics,W4,|Vag| 850hPa,BALANCE,6,120,2.5783519625663756,3.4058784365653993,32.09517110206091,2.42273858252992e-06,True,False
physics,W4,Vag/Vg 50hPa,BALANCE,7,120,0.25039272867143153,0.4379353173077106,74.89937492648792,0.0,False,False
physics,W4,Vag/Vg 250hPa,BALANCE,8,120,0.20757332742214202,0.3147164411842823,51.616994867670684,7.750506096697867e-07,True,False
physics,W4,Vag/Vg 500hPa,BALANCE,9,120,0.16644311137497425,0.2831919215619564,70.14337164363778,5.431631778148894e-07,True,False
physics,W4,Vag/Vg 850hPa,BALANCE,10,120,0.2863327294588089,0.35246433690190315,23.096069935172324,1.6778073412306761e-07,True,False
physics,W4,HypsRel 600-500,BALANCE,11,120,0.0024162212527233753,0.00745979938034509,208.73825697613532,6.268103164260551e-09,True,False
physics,W4,|DryAir Md err|,CONSERVATION,12,120,54298166793164.8,61624894480281.6,13.493508381279483,532388349.82127655,True,False
physics,W4,neg-q fraction,CONSERVATION,13,120,0.0055891772586619485,0.057408261485397814,927.1325962408531,1.498344453408363e-07,True,False
physics,W4,|neg-q mass|,CONSERVATION,14,120,395305019980.8,18735402136371.2,4639.479943179365,796408.374468085,True,False
physics,W4,SpecDivW1 Z500,SPECTRAL,15,120,0.10668702309374327,0.06494243935951886,-39.12807998920775,5.741047440145198e-07,True,False
physics,W4,SpecDivW1 T850,SPECTRAL,16,120,0.2363252797837613,0.16742665943559934,-29.154147373147943,6.705656936959199e-07,True,False
physics,W4,SpecDivW1 Q700,SPECTRAL,17,120,2.514150654791609,1.7957092567737483,-28.575908792443077,3.89930534098122e-06,True,False
physics,W4,SpecResLog Z500,SPECTRAL,18,120,0.9803284959163312,0.5415086426703655,-44.762531648719715,5.819765256058809e-06,True,False
physics,W4,SpecResLog T850,SPECTRAL,19,120,0.526553650798614,0.40114401003131384,-23.817067943046972,1.4847145995831128e-06,True,False
physics,W4,SpecResLog Q700,SPECTRAL,20,120,0.853566316741545,0.5571491997605198,-34.72689950003951,1.7484622986846742e-06,True,False
physics,W4,|RQE| Z500,EXTREMES,21,120,0.003987607173621654,0.005694911690443405,42.81526345212009,3.4424790894573035e-07,True,False
physics,W4,|RQE| T850,EXTREMES,22,120,0.0022641459512669827,0.0026958896371070294,19.068721501741056,3.2266809981554106e-07,True,False
physics,W4,|RQE| Q700,EXTREMES,23,120,0.23378538824617862,0.08937252846080809,-61.77155076659547,2.491030287235341e-06,True,False
physics,W4,RMSE Z500,RMSE,0,168,477.04575747420046,523.8452309324535,9.810269292832793,0.001286153590425532,True,False
physics,W4,RMSE T850,RMSE,1,168,2.35859095132945,2.697371471330424,14.363682681391454,5.2857906260388965e-06,True,False
physics,W4,RMSE Q700,RMSE,2,168,0.0011939742757268242,0.001361658867184647,14.044238210722412,1.1824824391527379e-09,True,False
physics,W4,|Vag| 50hPa,BALANCE,3,168,4.301926904916764,8.621168518066407,100.40248727176396,0.0,False,False
physics,W4,|Vag| 250hPa,BALANCE,4,168,5.366492509841919,9.79374463558197,82.49805841749819,1.723715599547041e-05,True,False
physics,W4,|Vag| 500hPa,BALANCE,5,168,2.673031008243561,5.480127966403961,105.01550298157346,7.949991429105718e-06,True,False
physics,W4,|Vag| 850hPa,BALANCE,6,168,2.5738034665584566,3.7120957374572754,44.22607575476143,3.2039398842669545e-06,True,False
physics,W4,Vag/Vg 50hPa,BALANCE,7,168,0.2880367342382669,0.5213865950703621,81.01392395286145,0.0,False,False
physics,W4,Vag/Vg 250hPa,BALANCE,8,168,0.2138738863170147,0.3743005931377411,75.00995543838101,6.579338236058012e-07,True,False
physics,W4,Vag/Vg 500hPa,BALANCE,9,168,0.17948650047183037,0.3432250589132309,91.22611339068287,4.781053421345163e-07,True,False
physics,W4,Vag/Vg 850hPa,BALANCE,10,168,0.3020104058086872,0.39402804225683213,30.468366214651166,2.3600902963191906e-07,True,False
physics,W4,HypsRel 600-500,BALANCE,11,168,0.0027178606795670844,0.009644888601608198,254.87060371116922,6.923083792782102e-09,True,False
physics,W4,|DryAir Md err|,CONSERVATION,12,168,61224813831244.8,69036655336371.2,12.759273595601849,677868757.5148935,True,False
physics,W4,neg-q fraction,CONSERVATION,13,168,0.008016498644428794,0.06688279630616308,734.3143219096587,2.597275368393735e-07,True,False
physics,W4,|neg-q mass|,CONSERVATION,14,168,640942483865.6,24444306482790.4,3713.8065580181064,1965300.0170212765,True,False
physics,W4,SpecDivW1 Z500,SPECTRAL,15,168,0.16761684603118007,0.1285668235886943,-23.297194385355322,8.364450910688876e-07,True,False
physics,W4,SpecDivW1 T850,SPECTRAL,16,168,0.34187072099182514,0.2993607567723565,-12.43451445509577,7.763147107935637e-07,True,False
physics,W4,SpecDivW1 Q700,SPECTRAL,17,168,3.363326323142431,2.549598866974679,-24.194127419889128,5.7984310562185e-06,True,False
physics,W4,SpecResLog Z500,SPECTRAL,18,168,1.3497551466967934,0.7666451975552694,-43.20116508305583,7.900357517776777e-06,True,False
physics,W4,SpecResLog T850,SPECTRAL,19,168,0.7375037912703352,0.5978994963687199,-18.92929860891288,1.8566658550917109e-06,True,False
physics,W4,SpecResLog Q700,SPECTRAL,20,168,1.2646213667724404,0.8564391461282621,-32.27703021386858,2.838551224112969e-06,True,False
physics,W4,|RQE| Z500,EXTREMES,21,168,0.006353857653448358,0.007097872878148337,11.70966152029213,2.823770046234131e-07,True,False
physics,W4,|RQE| T850,EXTREMES,22,168,0.0038568561161810067,0.004248758044559509,10.161175749707686,3.5228242384309464e-07,True,False
physics,W4,|RQE| Q700,EXTREMES,23,168,0.2938850261271,0.11078376793302595,-62.30370448165877,2.8692027355762237e-06,True,False
rmse,W8,Z 50,GEOPOTENTIAL,0,24,106.29970353535352,106.95515956365152,0.6166113417992846,0.0,False,False
rmse,W8,Z 250,GEOPOTENTIAL,1,24,59.995694432772034,60.009518688149015,0.02304207911531405,0.0,False,False
rmse,W8,Z 500,GEOPOTENTIAL,2,24,47.394000417207764,47.54419319774156,0.316902517642862,0.0,False,False
rmse,W8,Z 700,GEOPOTENTIAL,3,24,40.864360714548354,40.907614274858155,0.10584665844142613,0.0,False,False
rmse,W8,Z 850,GEOPOTENTIAL,4,24,41.847382120425706,41.95099368416103,0.24759389592676034,0.0,False,False
rmse,W8,T 50,TEMPERATURE,5,24,0.9673628401260485,0.9699317845520822,0.265561619639947,0.0,False,False
rmse,W8,T 250,TEMPERATURE,6,24,0.5126406125716787,0.5133721283256452,0.14269563043333372,0.0,False,False
rmse,W8,T 500,TEMPERATURE,7,24,0.44482274648980863,0.44587840995674943,0.23732227618107885,0.0,False,False
rmse,W8,T 700,TEMPERATURE,8,24,0.4572515672197853,0.45812562974526577,0.19115571998910472,0.0,False,False
rmse,W8,T 850,TEMPERATURE,9,24,0.5732426877188003,0.573997492764738,0.1316728607461953,0.0,False,False
rmse,W8,Q 50,HUMIDITY,10,24,3.11892961861767e-08,3.123117995325737e-08,0.13428891383329936,0.0,False,False
rmse,W8,Q 250,HUMIDITY,11,24,2.2681503640925814e-05,2.270565264396242e-05,0.10647002693874301,0.0,False,False
rmse,W8,Q 500,HUMIDITY,12,24,0.00025835183761210384,0.0002585572253748213,0.07949924591821447,0.0,False,False
