# per (initialisation, variable) RMSE for the config and FP32. source=harness_results.pt. Raw material for the POOLED bootstrap: pooling happens inside each resample, so a pre-collapsed degradation series cannot produce it.
tag,lead,init,var,r_cfg,r_ref
ceiling,24,24,geopotential_500,47.45235825,47.44751358
ceiling,24,24,temperature_850,0.590675652,0.5907027125
ceiling,24,24,2m_temperature,0.545941174,0.5459327698
ceiling,24,24,mean_sea_level_pressure,55.67361832,55.67899704
ceiling,24,24,specific_humidity_700,0.0005088461912,0.0005088701728
ceiling,24,24,u_component_of_wind_500,1.566234708,1.566145658
ceiling,24,24,v_component_of_wind_500,1.628992319,1.628999352
ceiling,24,25,geopotential_500,40.26340485,40.26809692
ceiling,24,25,temperature_850,0.6097691655,0.6098076105
ceiling,24,25,2m_temperature,0.5221570134,0.5221914649
ceiling,24,25,mean_sea_level_pressure,48.91945648,48.92466736
ceiling,24,25,specific_humidity_700,0.0005256686127,0.0005256870063
ceiling,24,25,u_component_of_wind_500,1.542606354,1.542636633
ceiling,24,25,v_component_of_wind_500,1.540301204,1.540247321
ceiling,24,26,geopotential_500,46.57588577,46.57736206
ceiling,24,26,temperature_850,0.5818481445,0.5817914605
ceiling,24,26,2m_temperature,0.564727664,0.5647383332
ceiling,24,26,mean_sea_level_pressure,53.92045975,53.92944336
ceiling,24,26,specific_humidity_700,0.0005237857695,0.0005238184822
ceiling,24,26,u_component_of_wind_500,1.537446141,1.537398934
ceiling,24,26,v_component_of_wind_500,1.601176977,1.601153493
ceiling,24,27,geopotential_500,47.5923233,47.59264374
ceiling,24,27,temperature_850,0.6298243403,0.6297966838
ceiling,24,27,2m_temperature,0.5512550473,0.5512356162
ceiling,24,27,mean_sea_level_pressure,58.95211792,58.95233154
ceiling,24,27,specific_humidity_700,0.0005300869234,0.0005300744087
ceiling,24,27,u_component_of_wind_500,1.588390231,1.588400722
ceiling,24,27,v_component_of_wind_500,1.624339104,1.624341249
ceiling,24,28,geopotential_500,43.50537109,43.49627686
ceiling,24,28,temperature_850,0.5892407298,0.5892611742
ceiling,24,28,2m_temperature,0.5381346941,0.538138926
ceiling,24,28,mean_sea_level_pressure,51.98922729,51.99026108
ceiling,24,28,specific_humidity_700,0.0005077560782,0.0005077194073
ceiling,24,28,u_component_of_wind_500,1.469123721,1.469048381
ceiling,24,28,v_component_of_wind_500,1.507540822,1.507418156
ceiling,24,29,geopotential_500,47.52004242,47.51827621
ceiling,24,29,temperature_850,0.6260982752,0.62613976
ceiling,24,29,2m_temperature,0.5260716677,0.5260483027
ceiling,24,29,mean_sea_level_pressure,58.87560272,58.87188721
ceiling,24,29,specific_humidity_700,0.000519527297,0.0005195072154
ceiling,24,29,u_component_of_wind_500,1.57279098,1.572662473
ceiling,24,29,v_component_of_wind_500,1.5708915,1.570849538
ceiling,24,30,geopotential_500,43.47868347,43.47348022
ceiling,24,30,temperature_850,0.6084119678,0.6083511114
ceiling,24,30,2m_temperature,0.4963985085,0.4964241683
ceiling,24,30,mean_sea_level_pressure,54.88897705,54.87886429
ceiling,24,30,specific_humidity_700,0.0005274060532,0.0005273993593
ceiling,24,30,u_component_of_wind_500,1.493083119,1.492990971
ceiling,24,30,v_component_of_wind_500,1.504094362,1.503983617
ceiling,24,31,geopotential_500,45.51313782,45.50864029
ceiling,24,31,temperature_850,0.6247465014,0.6246883273
ceiling,24,31,2m_temperature,0.4969074428,0.4968833029
ceiling,24,31,mean_sea_level_pressure,50.91630173,50.90457916
ceiling,24,31,specific_humidity_700,0.0005364418612,0.0005364338285
ceiling,24,31,u_component_of_wind_500,1.53825736,1.538112998
ceiling,24,31,v_component_of_wind_500,1.627694488,1.627673984
ceiling,24,32,geopotential_500,46.28361893,46.28397369
ceiling,24,32,temperature_850,0.5749716163,0.5749425292
ceiling,24,32,2m_temperature,0.5165203214,0.5165126324
ceiling,24,32,mean_sea_level_pressure,55.10105133,55.10603714
ceiling,24,32,specific_humidity_700,0.0005118417321,0.0005118523841
ceiling,24,32,u_component_of_wind_500,1.537942052,1.537865758
ceiling,24,32,v_component_of_wind_500,1.573925495,1.57401073
ceiling,24,33,geopotential_500,45.28132248,45.28685379
ceiling,24,33,temperature_850,0.6105473042,0.6106007695
ceiling,24,33,2m_temperature,0.519107759,0.5190646052
ceiling,24,33,mean_sea_level_pressure,54.36737823,54.37110901
ceiling,24,33,specific_humidity_700,0.000506551296,0.0005065524601
ceiling,24,33,u_component_of_wind_500,1.549922228,1.549901009
ceiling,24,33,v_component_of_wind_500,1.573289275,1.573207259
ceiling,24,34,geopotential_500,43.48343658,43.47476578
ceiling,24,34,temperature_850,0.6133103371,0.6132788658
ceiling,24,34,2m_temperature,0.4970190525,0.4970250726
ceiling,24,34,mean_sea_level_pressure,49.29621887,49.28857422
ceiling,24,34,specific_humidity_700,0.0005167724448,0.0005167568452
ceiling,24,34,u_component_of_wind_500,1.474755287,1.474733353
ceiling,24,34,v_component_of_wind_500,1.535763621,1.535751939
ceiling,24,35,geopotential_500,43.80243301,43.80574799
ceiling,24,35,temperature_850,0.6052290201,0.6052558422
ceiling,24,35,2m_temperature,0.5170013905,0.5170003772
ceiling,24,35,mean_sea_level_pressure,53.01469803,53.01184082
ceiling,24,35,specific_humidity_700,0.0004838965833,0.0004839102912
ceiling,24,35,u_component_of_wind_500,1.435385585,1.435439467
ceiling,24,35,v_component_of_wind_500,1.506370783,1.506463885
ceiling,24,36,geopotential_500,51.68404388,51.68269348
ceiling,24,36,temperature_850,0.6052848697,0.6052874923
ceiling,24,36,2m_temperature,0.5058719516,0.5058174133
ceiling,24,36,mean_sea_level_pressure,58.39772415,58.38853455
ceiling,24,36,specific_humidity_700,0.0005124456948,0.0005124374875
ceiling,24,36,u_component_of_wind_500,1.55561924,1.555693507
ceiling,24,36,v_component_of_wind_500,1.567997098,1.568180561
ceiling,24,37,geopotential_500,43.9045639,43.9075737
ceiling,24,37,temperature_850,0.6303833127,0.6303819418
ceiling,24,37,2m_temperature,0.5103005767,0.5102633238
ceiling,24,37,mean_sea_level_pressure,51.13817978,51.13767242
ceiling,24,37,specific_humidity_700,0.000517687411,0.0005176814739
ceiling,24,37,u_component_of_wind_500,1.50898242,1.509111524
ceiling,24,37,v_component_of_wind_500,1.549718022,1.549799442
ceiling,24,38,geopotential_500,50.57455063,50.56871414
ceiling,24,38,temperature_850,0.5922515392,0.592263341
ceiling,24,38,2m_temperature,0.5290700793,0.529075861
ceiling,24,38,mean_sea_level_pressure,55.71854401,55.71863556
ceiling,24,38,specific_humidity_700,0.0004864837392,0.0004865474475
ceiling,24,38,u_component_of_wind_500,1.582014561,1.581840277
ceiling,24,38,v_component_of_wind_500,1.653714418,1.653701186
ceiling,24,39,geopotential_500,43.67192459,43.6733284
ceiling,24,39,temperature_850,0.6126638651,0.6127570868
ceiling,24,39,2m_temperature,0.5676987767,0.5676099062
ceiling,24,39,mean_sea_level_pressure,52.42168808,52.43354797
ceiling,24,39,specific_humidity_700,0.0005034120404,0.0005034311907
ceiling,24,39,u_component_of_wind_500,1.534550786,1.534490585
ceiling,24,39,v_component_of_wind_500,1.58267498,1.582687855
ceiling,24,40,geopotential_500,42.43570328,42.43185425
ceiling,24,40,temperature_850,0.5747331381,0.5746791363
ceiling,24,40,2m_temperature,0.5369449258,0.5369553566
ceiling,24,40,mean_sea_level_pressure,49.49316025,49.49229813
ceiling,24,40,specific_humidity_700,0.0004764120386,0.0004764424812
ceiling,24,40,u_component_of_wind_500,1.45520103,1.455256343
ceiling,24,40,v_component_of_wind_500,1.525472045,1.525432229
ceiling,24,41,geopotential_500,46.2725296,46.27244186
ceiling,24,41,temperature_850,0.5600669384,0.5600631833
ceiling,24,41,2m_temperature,0.5419833064,0.5419198275
ceiling,24,41,mean_sea_level_pressure,52.63090134,52.63264847
ceiling,24,41,specific_humidity_700,0.0004813762207,0.0004813543346
ceiling,24,41,u_component_of_wind_500,1.517509341,1.517530084
ceiling,24,41,v_component_of_wind_500,1.506617665,1.506588817
ceiling,24,42,geopotential_500,45.34733582,45.3514595
ceiling,24,42,temperature_850,0.5514668226,0.5514427423
ceiling,24,42,2m_temperature,0.5704131722,0.5704486966
ceiling,24,42,mean_sea_level_pressure,55.41589355,55.41883087
ceiling,24,42,specific_humidity_700,0.0004820460745,0.0004820304166
ceiling,24,42,u_component_of_wind_500,1.538317561,1.538285136
ceiling,24,42,v_component_of_wind_500,1.615647435,1.615715504
ceiling,24,43,geopotential_500,45.66475677,45.66890335
ceiling,24,43,temperature_850,0.5636534691,0.5637242198
ceiling,24,43,2m_temperature,0.5698564053,0.5698968172
