tag,floor,guide,lead,balance,conservation
W8A8_rmse_span1,W8A8,rmse,72,0.23249566787134912,0.1015373758651856
W8A8_rmse_span1,W8A8,rmse,120,0.31193065120029995,0.05205099933800024
W8A8_rmse_span1,W8A8,rmse,168,0.4097951083535456,0.05549354973652566
W8A8_rmse_span2,W8A8,rmse,24,0.06720618234115668,0.05175011606529553
W8A8_rmse_span2,W8A8,rmse,72,0.16947634711769352,0.09579108938368296
W8A8_rmse_span2,W8A8,rmse,120,0.24204726418009,0.056366976376961614
W8A8_rmse_span2,W8A8,rmse,168,0.33908538000058147,0.07581993312547046
W8A8_rmse_span3,W8A8,rmse,24,0.015804654639497914,0.005712091768475313
W8A8_rmse_span3,W8A8,rmse,72,0.028861442485875743,0.010963075324780459
W8A8_rmse_span3,W8A8,rmse,120,0.01904750938914389,0.0038662507662429297
W8A8_rmse_span3,W8A8,rmse,168,0.03676523679910715,0.016930987439682504
W8A8_rmseup_span1,W8A8,rmse,24,0.07504472596383098,0.05705030761378036
W8A8_rmseup_span1,W8A8,rmse,72,0.18559206325471791,0.10201945115129489
W8A8_rmseup_span1,W8A8,rmse,120,0.25203236196187884,0.05676643296197337
W8A8_rmseup_span1,W8A8,rmse,168,0.3464644108666746,0.06267861060009756
W8A8_rmseup_span3,W8A8,rmse,24,0.003744496896819582,0.004029743379578883
W8A8_rmseup_span3,W8A8,rmse,72,0.003690870856656779,0.005327065690330944
W8A8_rmseup_span3,W8A8,rmse,120,0.007670414034819867,0.000122927690069386
W8A8_rmseup_span3,W8A8,rmse,168,0.018166181495018394,0.00665722671487266
W8A8_probe_divergent,W8A8,probe,24,0.3559766961551469,0.11060142112614998
W8A8_probe_divergent,W8A8,probe,72,0.5513295962325218,0.07116213820444912
W8A8_probe_divergent,W8A8,probe,120,0.6063602842862138,0.14025627654898534
W8A8_probe_divergent,W8A8,probe,168,0.6262336075999646,0.29785300114612534
W8A8_probe_rmse_favoured,W8A8,probe,24,0.41693027182941345,0.013979258180942263
W8A8_probe_rmse_favoured,W8A8,probe,72,0.7282026400006569,0.05844249534098073
W8A8_probe_rmse_favoured,W8A8,probe,120,0.9073797727088687,0.005590070740696896
W8A8_probe_rmse_favoured,W8A8,probe,168,1.1073302248001595,0.003088726709926934
W8A8_rand_0,W8A8,random,24,0.06246116783541487,0.05851166980035936
W8A8_rand_0,W8A8,random,72,0.15929509693721738,0.05773612231119743
W8A8_rand_0,W8A8,random,120,0.24155905151865575,0.006395534949522593
W8A8_rand_0,W8A8,random,168,0.3570182116483,0.10007274307895776
W8A8_rand_1,W8A8,random,24,0.02066982623168316,0.008789548827907398
W8A8_rand_1,W8A8,random,72,0.0459359680144755,0.007838840611188716
W8A8_rand_1,W8A8,random,120,0.032970001530324776,0.010236425048764531
W8A8_rand_1,W8A8,random,168,0.02954507124264444,0.014137653584115003
W8A8_rand_2,W8A8,random,24,0.07637364590696116,0.058232151018771876
W8A8_rand_2,W8A8,random,72,0.19834280533180812,0.07051313268328435
W8A8_rand_2,W8A8,random,120,0.28983554170071385,0.020457972084130735
W8A8_rand_2,W8A8,random,168,0.4061509530992779,0.10599234189275766
W8A8_rand_3,W8A8,random,24,0.07786481393249824,0.04914891144296608
W8A8_rand_3,W8A8,random,72,0.19418000938880456,0.09400437642149594
W8A8_rand_3,W8A8,random,120,0.2903888211777154,0.05106738104781793
W8A8_rand_3,W8A8,random,168,0.408869631437907,0.08593338046324886
