group,metric,lead,fp32_mean,group_mean,mean_delta,ci_lo,ci_hi,rel_pct,svr,svr_ci_lo,svr_ci_hi,distortion,share,norm,rank,significant,lag1_autocorr,n,n_eff
b12-17_attn,RMSE T850,72,1.0127332620322704,1.0130814425647259,0.00034818053245544434,8.104828496774038e-05,0.0005862173624336719,0.03438028012990746,0.005944529848263875,0.0013837475224235372,0.010008562466091993,0.005944529848263875,0.058233529762876435,colmax,6,True,0.22985952257542508,48,30.057695401640878
b12-17_mlp,RMSE T850,72,1.0127332620322704,1.0128077504535515,7.448842128117879e-05,-8.908202871680259e-05,0.0002069604272643725,0.007355186609720067,0.0012717501479284602,-0.0015209086358632007,0.0035334613012573952,0.0012717501479284602,0.012458260279736604,colmax,10,False,0.09904982073928385,48,39.34817857067198
b18-23_attn,RMSE T850,72,1.0127332620322704,1.013013066103061,0.0002798040707906087,9.189114595452945e-05,0.0004459039929012455,0.027628604814373407,0.004777129952529325,0.001568869046369715,0.007612974730575145,0.004777129952529325,0.04679750062201996,colmax,8,True,0.030320608762069993,48,45.17488089007943
b18-23_mlp,RMSE T850,72,1.0127332620322704,1.0132648597160976,0.0005315976838270823,0.00026048108314474425,0.0008395572813848652,0.05249138186301055,0.009076033850865634,0.004447226163801061,0.014333866639020835,0.009076033850865634,0.0889102251774574,colmax,3,True,-0.09580298546210773,48,58.17155161595252
adaln,RMSE T850,72,1.0127332620322704,1.0126221465567748,-0.00011111547549565633,-0.00020013032481074332,-1.7531464497248497e-05,-0.01097184023290386,-0.0018970884329165885,-0.0034168501064385276,-0.0002993168895822985,0.0018970884329165885,-0.018584170412286046,colmax,9,True,-0.04202607039587963,48,52.21149535840886
head,RMSE T850,72,1.0127332620322704,1.0134619176387787,0.000728655606508255,0.0003799090472360452,0.001042666099965572,0.0719494099607283,0.012440428450856685,0.006486234755842243,0.017801568942719077,0.012440428450856685,0.12186835274575604,colmax,2,True,-0.1546845343099448,48,65.56706921437011
embed,RMSE Q700,72,0.0007537539058830589,0.0007580850578960963,4.331152013037354e-06,3.403896850310654e-06,5.114482246426632e-06,0.5746108881470009,0.13090962494693423,0.10288321875817184,0.1545858816920009,0.13090962494693423,1.0,colmax,1,True,0.06935684941648664,48,41.77358685492507
b0-5_attn,RMSE Q700,72,0.0007537539058830589,0.0007537259395273092,-2.796635574971636e-08,-8.919090153843475e-08,3.778183478668018e-08,-0.003710276727117245,-0.0008452866884624701,-0.0026958064353154194,0.0011419608009239084,0.0008452866884624701,-0.006457024751274913,colmax,10,False,0.19168195933360982,48,32.55840675282466
b0-5_mlp,RMSE Q700,72,0.0007537539058830589,0.0007538550453318749,1.0113944881595671e-07,3.1899223055612916e-08,1.5656150935683398e-07,0.013418099465430563,0.0030569528088559275,0.0009641581070668528,0.004732091695081381,0.0030569528088559275,0.023351627583495866,colmax,8,True,-0.16392253656527203,48,66.82189653290979
b6-11_attn,RMSE Q700,72,0.0007537539058830589,0.0007538755441297932,1.2163824673431614e-07,-5.023339326726273e-08,2.984870964913473e-07,0.016137660552725242,0.0036765316043536984,-0.001518310752574479,0.0090218107643327,0.0036765316043536984,0.02808450185266381,colmax,6,False,-0.04521745311937045,48,52.54645459706154
