group,metric,lead,fp32_mean,group_mean,mean_delta,ci_lo,ci_hi,rel_pct,svr,svr_ci_lo,svr_ci_hi,share,norm,rank,significant,lag1_autocorr,n,n_eff
enc1_mlp,RMSE Q700,168,0.0016523806649881105,0.001692941722770532,4.056105778242151e-05,1.9381565653020513e-05,6.543281051563099e-05,2.45470421204144,1.1991833061962265,0.573013901750883,1.9345139978536612,0.1256810230087695,share,4,True,0.025284809695666897,12,11.408129890390036
enc2_attn,RMSE Q700,168,0.0016523806649881105,0.0016530818247701973,7.011597820868095e-07,-1.0983516403939574e-06,3.841453872155398e-06,0.04243330831348445,0.02072971346469872,-0.0324726479905683,0.11357217012737854,0.0021725882785893946,share,15,False,0.15761418898648935,12,8.732295982837256
enc2_mlp,RMSE Q700,168,0.0016523806649881105,0.0016535735048819333,1.1928398938228686e-06,-2.561670650417606e-06,3.7091231206431947e-06,0.07218917039503434,0.035266183029802285,-0.07573551696881384,0.10965982570675031,0.0036960904458044432,share,14,False,0.42837857300819837,12,4.802268287639911
downsample,RMSE Q700,168,0.0016523806649881105,0.0017026087928873797,5.022812789926926e-05,2.244102458159129e-05,8.243143117094102e-05,3.039743139310497,1.4849891933636037,0.6634664755672662,2.437076387314925,0.15563505597063856,share,3,True,0.1700807075356603,12,8.5114056196577
dec0_attn,RMSE Q700,168,0.0016523806649881105,0.0016526485754487414,2.6791046063105267e-07,-5.15198553330265e-06,5.662633338943122e-06,0.01621360418381441,0.007920743923087096,-0.152317897586451,0.16741514497961876,0.0008301376395921788,share,17,False,0.4138241206905153,12,4.97523733594129
dec0_mlp,RMSE Q700,168,0.0016523806649881105,0.0016529465016598504,5.658366717398167e-07,-2.6267662178725004e-06,6.7221311231454134e-06,0.03424372384216249,0.016728900277302214,-0.07766006041188721,0.19873908289520997,0.001753280995323487,share,16,False,-0.3772022290730521,12,26.535783396076283
dec1_attn,RMSE Q700,168,0.0016523806649881105,0.001654197849954168,1.817184966057539e-06,-3.919236526902144e-06,7.3350192299888765e-06,0.1099737490616676,0.053724877868233496,-0.11587180594023808,0.2168590537854024,0.005630663449542633,share,12,False,0.0007329096416609453,12,11.982423050915592
dec1_mlp,RMSE Q700,168,0.0016523806649881105,0.0016541210352443159,1.7403702562053998e-06,-6.415480796325331e-06,8.540324294396366e-06,0.1053250194148164,0.05145385924196598,-0.18967299899930065,0.252493768241435,0.005392648174691428,share,13,False,-0.2723898583075089,12,20.984696920487792
dec2_attn,RMSE Q700,168,0.0016523806649881105,0.0016420675965491682,-1.0313068438942233e-05,-1.7416359575387712e-05,-2.2506545064970887e-06,-0.6241339333885536,-0.3049047580065446,-0.5149127956561117,-0.06654035816039035,-0.03195569994053376,share,9,True,0.30163409306095457,12,6.438361539502252
dec2_mlp,RMSE Q700,168,0.0016523806649881105,0.0016327634608993928,-1.96172040887177e-05,-2.774924432742409e-05,-1.4198870485415688e-05,-1.1872085230953033,-0.579980526731475,-0.8204034208256955,-0.41978807713274296,-0.06078515732176905,share,5,True,-0.11221895413142742,12,15.03369272377208
upsample,RMSE Q700,168,0.0016523806649881105,0.0016661546445296456,1.3773979541535178e-05,1.2503835023380816e-06,2.4546268347573155e-05,0.8335839212712094,0.407226222124211,0.036967453619930736,0.7257077808404545,0.04267955359961655,share,7,True,-0.271616098049599,12,20.949657365758572
decoder_io,RMSE Q700,168,0.0016523806649881105,0.0018406245217192918,0.00018824385673118135,0.0001560988445514037,0.00022543015826765133,11.392281495410494,5.565409356357031,4.615045532261455,6.664818357496046,0.5832855892467477,share,2,True,0.5338505296360162,12,3.646896184659673
decoder_heads,RMSE Q700,168,0.0016523806649881105,0.001671930163865909,1.9549498877798516e-05,2.6018933567684144e-06,3.860557214162933e-05,1.18311108886881,0.577978829460356,0.07692469695136415,1.141369583770065,0.06057536841002535,share,6,True,0.36534146408873963,12,5.57802032037323
encoder_io,RMSE U500,168,6.6741063594818115,8.177242954572042,1.5031365950902302,1.3159752110640208,1.7113714277744292,22.521915506407005,3.6570201166984586,3.2016703176924097,4.163640057035778,0.9558123401997609,share,1,True,-0.0995994704992492,12,14.65480440499895
