seed,k,cost,config
3,16,0.827098,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc0_attn|enc0_mlp|enc1_attn|enc2_mlp|encoder_io|film|upsample
3,17,0.941974,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_mlp|encoder_io|film|upsample
3,18,0.947718,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_mlp|encoder_io|film|upsample
3,19,1,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
4,0,0,
4,1,0.0229754,bf16:encoder_io
4,2,0.0919015,bf16:dec2_mlp|encoder_io
4,3,0.144183,bf16:dec0_attn|dec2_mlp|encoder_io
4,4,0.201622,bf16:dec0_attn|dec1_attn|dec2_mlp|encoder_io
4,5,0.201624,bf16:dec0_attn|dec1_attn|dec2_mlp|encoder_io|film
4,6,0.253906,bf16:dec0_attn|dec1_attn|dec2_mlp|enc2_attn|encoder_io|film
4,7,0.25965,bf16:dec0_attn|dec1_attn|dec2_mlp|downsample|enc2_attn|encoder_io|film
4,8,0.351551,bf16:dec0_attn|dec0_mlp|dec1_attn|dec2_mlp|downsample|enc2_attn|encoder_io|film
4,9,0.386014,bf16:dec0_attn|dec0_mlp|dec1_attn|dec2_mlp|downsample|enc0_attn|enc2_attn|encoder_io|film
4,10,0.506635,bf16:dec0_attn|dec0_mlp|dec1_attn|dec2_mlp|decoder_io|downsample|enc0_attn|enc2_attn|encoder_io|film
4,11,0.575561,bf16:dec0_attn|dec0_mlp|dec1_attn|dec2_mlp|decoder_io|downsample|enc0_attn|enc0_mlp|enc2_attn|encoder_io|film
4,12,0.576279,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec2_mlp|decoder_io|downsample|enc0_attn|enc0_mlp|enc2_attn|encoder_io|film
4,13,0.691156,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_mlp|decoder_io|downsample|enc0_attn|enc0_mlp|enc2_attn|encoder_io|film
4,14,0.692704,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc2_attn|encoder_io|film
4,15,0.784606,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc2_attn|enc2_mlp|encoder_io|film
4,16,0.899483,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film
4,17,0.956921,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film
4,18,0.991384,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film
4,19,1,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
5,0,0,
5,1,0.0919015,bf16:dec0_mlp
5,2,0.091904,bf16:dec0_mlp|film
5,3,0.149342,bf16:dec0_mlp|enc1_attn|film
5,4,0.155086,bf16:dec0_mlp|downsample|enc1_attn|film
5,5,0.189549,bf16:dec0_mlp|downsample|enc0_attn|enc1_attn|film
5,6,0.31017,bf16:dec0_mlp|decoder_io|downsample|enc0_attn|enc1_attn|film
5,7,0.310888,bf16:cond_embed|dec0_mlp|decoder_io|downsample|enc0_attn|enc1_attn|film
5,8,0.379815,bf16:cond_embed|dec0_mlp|dec2_mlp|decoder_io|downsample|enc0_attn|enc1_attn|film
5,9,0.494691,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_mlp|decoder_io|downsample|enc0_attn|enc1_attn|film
5,10,0.563617,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_mlp|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|film
5,11,0.678494,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_mlp|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|film
5,12,0.680042,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|film
5,13,0.737481,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|film
5,14,0.771944,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|film
5,15,0.863845,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_mlp|film
5,16,0.886821,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_mlp|encoder_io|film
5,17,0.939103,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film
