scheme,group,lead,mean_physics_share_old,mean_rmse_share_old,mean_physics_abs_svr_old,mean_rmse_abs_svr_old,mean_physics_share_new,mean_rmse_share_new,mean_physics_abs_svr_new,mean_rmse_abs_svr_new,standard_share,standard_svr,balance_share,balance_svr,conservation_share,conservation_svr,spectral_share,spectral_svr,extremes_share,extremes_svr,perturbation_share,perturbation_svr,legacy_mean_physics_share,legacy_mean_physics_abs_svr
W4,b0-5_mlp,120,0.0138414168165558,-0.002783643206732,0.0619572490722834,0.0133334944079756,-0.0002992127777977,-0.002783643206732,0.0986872868415703,0.0133334944079756,-0.002783643206732,0.0133334944079756,0.0034962212462117,0.09741126725136,-0.0040946468018071,0.0999633064317806,0.0130567850188069,0.0239785895166794,0.0699191894588233,0.0365505392603233,0.0016027602637748,,0.0138414168165558,0.0619572490722834
W4,b6-11_attn,120,-0.0140029764167032,0.1563296505462202,0.1175832132983722,0.1982871858116112,0.0075212175046282,0.1563296505462202,0.2046527524025308,0.1982871858116112,0.1563296505462202,0.1982871858116112,0.0147626558819273,0.1985585642994778,0.0002797791273292,0.2107469405055838,-0.0138679572551037,0.0451335318777552,-0.1376515255610707,0.0600005411524754,0.0089482290091876,,-0.0140029764167032,0.1175832132983722
W4,b6-11_mlp,120,-0.0089698822424654,0.0727906141228207,0.1092407081599547,0.0939808037936793,0.0121522413347883,0.0727906141228207,0.1487323379518942,0.0939808037936793,0.0727906141228207,0.0939808037936793,0.0109921057015531,0.1278636514755065,0.0133123769680235,0.1696010244282819,-0.0141084485436399,0.046429205559912,-0.0979276035225301,0.148502954444467,0.004125660232276,,-0.0089698822424654,0.1092407081599547
W4,b12-17_attn,120,-0.0164670761562867,0.0528012961373978,0.0882174715088715,0.0658435844298624,0.0051154222116656,0.0528012961373978,0.1144746497517891,0.0658435844298624,0.0528012961373978,0.0658435844298624,0.0064948851848152,0.1771265519465485,0.0037359592385159,0.0518227475570296,-0.0554279978815135,0.0961245450733529,-0.0209094171243847,0.0424855163787573,0.004330306860412,,-0.0164670761562867,0.0882174715088715
W4,b12-17_mlp,120,0.0566104976739249,0.0281692379329059,0.1461370021348713,0.0475923482776539,-0.0059348820413292,0.0281692379329059,0.1218739050751439,0.0475923482776539,0.0281692379329059,0.0475923482776539,0.0129769980317675,0.1740231504616139,-0.024846762114426,0.0697246596886739,0.1701427235457862,0.203625946521296,0.0476629818805782,0.0961904399560248,0.0064651368068486,,0.0566104976739249,0.1461370021348713
W4,b18-23_attn,120,0.0505625007617928,0.0600367461879059,0.3013117737469308,0.0845726257799675,0.039680328613644,0.0600367461879059,0.4107757891089583,0.0845726257799675,0.0600367461879059,0.0845726257799675,0.0440354257818169,0.4049519209638405,0.0353252314454711,0.416599657254076,0.0521194196331814,0.1134157176153019,0.1709121096154356,0.1239114126922842,0.0526269580123633,,0.0505625007617928,0.3013117737469308
W4,b18-23_mlp,120,0.2298865600667975,0.2089089989133419,3.891465379670368,0.3114413100757179,0.2043675376978563,0.2089089989133419,9.859990085939572,0.3114413100757179,0.2089089989133419,0.3114413100757179,0.1800986751521788,1.95426062497664,0.2286364002435339,17.765719546902506,0.1766586250222357,0.4660432636533633,0.24636207048794,0.5542437923960098,0.3013743638827791,,0.2298865600667975,3.891465379670368
W4,adaln,120,0.1463725295686822,0.0238497241130521,0.7718937569233713,0.0454140354625223,0.111364822495974,0.0238497241130521,1.431041599324042,0.0454140354625223,0.0238497241130521,0.0454140354625223,0.086281235327991,2.3118786434543,0.136448409663957,0.550204555193784,0.5504542647558885,0.6316724970876615,-0.4740575082829477,0.3318956955780225,0.0374824561384302,,0.1463725295686822,0.7718937569233713
W4,head,120,0.3170063206256063,0.2633095867473126,4.556202957581585,0.3466639103118512,0.3728410853745211,0.2633095867473126,11.522489153429838,0.3466639103118512,0.2633095867473126,0.3466639103118512,0.6081718276337237,12.505476740728104,0.1375103431153185,10.53950156613157,0.2624395841422425,0.2656026643878523,-0.065457576144087,0.3193877808229188,0.4292985206849521,,0.3170063206256063,4.556202957581585
W4,embed,168,0.239774041393923,0.138393978013575,1.6934122712423734,0.1812635802106763,0.3109269757754522,0.138393978013575,2.3077218434429563,0.1812635802106763,0.138393978013575,0.1812635802106763,0.0855369206064392,1.8971532471218435,0.5363170309444653,2.718290439764069,0.4185960733238132,0.414086697962728,0.0949808644720774,0.5672751406970623,0.0382140690914277,,0.239774041393923,1.6934122712423734
W4,b0-5_attn,168,-0.0090776679742614,0.0241627566819505,0.058808778492986,0.0253301868411091,0.003045357020149,0.0241627566819505,0.048543071625604,0.0253301868411091,0.0241627566819505,0.0253301868411091,0.0016417315537515,0.0454638948191006,0.0044489824865465,0.0516222484321075,-0.037548722295552,0.0678296573606426,0.0187572838472679,0.0146600094499973,0.000816043109053,,-0.0090776679742614,0.058808778492986
W4,b0-5_mlp,168,0.012943805700236,-0.0205895019623393,0.0807951793505658,0.0218174197161849,0.0022341837138161,-0.0205895019623393,0.0993081279175676,0.0218174197161849,-0.0205895019623393,0.0218174197161849,0.0035728904348685,0.1255324566066155,0.0008954769927637,0.0730837992285198,0.0150124056606955,0.0277004815029589,0.0446804284550502,0.023750163871821,0.0013616490267093,,0.012943805700236,0.0807951793505658
W4,b6-11_attn,168,-0.0093494729484081,0.1014632935749599,0.1195493016463505,0.1235801217441433,0.0096060754538503,0.1014632935749599,0.214028681253143,0.1235801217441433,0.1014632935749599,0.1235801217441433,0.0127168742751884,0.2536021076276396,0.0064952766325122,0.1744552548786465,-0.0091110311787382,0.0391524253477335,-0.0714192417945434,0.0327527767735908,0.0072391540420866,,-0.0093494729484081,0.1195493016463505
W4,b6-11_mlp,168,0.01510503386625,0.0645567270844582,0.1266930688377013,0.081968655134084,0.0102565590087803,0.0645567270844582,0.1690757157203889,0.081968655134084,0.0645567270844582,0.081968655134084,0.0093687382454571,0.186387784104464,0.0111443797721035,0.1517636473363138,-0.0083200107805447,0.0459423889057805,0.1262670268833472,0.1164014299810515,0.0033688147506552,,0.01510503386625,0.1266930688377013
W4,b12-17_attn,168,-0.0147616309568501,0.0444512920748864,0.1040070510823996,0.050575422918932,0.0055185205497498,0.0444512920748864,0.1506492222823511,0.050575422918932,0.0444512920748864,0.050575422918932,0.0072457295876329,0.2396457439150727,0.0037913115118668,0.0616527006496295,-0.0525940658764646,0.0827529806930924,0.0042937118460302,0.004777063187918,0.0038126052006291,,-0.0147616309568501,0.1040070510823996
W4,b12-17_mlp,168,0.0816872408841513,0.0366770579221564,0.1868033162164476,0.0497525454249084,0.0252676258884001,0.0366770579221564,0.1585626510523565,0.0497525454249084,0.0366770579221564,0.0497525454249084,0.0094205519614204,0.2203584756006473,0.0411146998153797,0.0967668265040656,0.213551568255547,0.2272478857964007,0.0881506306155751,0.1041278534437925,0.0060071635286418,,0.0816872408841513,0.1868033162164476
W4,b18-23_attn,168,0.0411429389590034,0.085756563072657,0.4667803790464045,0.1061691582775744,0.0570650568675831,0.085756563072657,0.6319651506957044,0.1061691582775744,0.085756563072657,0.1061691582775744,0.0450288227247842,0.700722636060655,0.0691012910103821,0.5632076653307537,0.0604201831842908,0.1149538002479526,0.0465518197317147,0.0557774910644496,0.0492534646613744,,0.0411429389590034,0.4667803790464045
W4,b18-23_mlp,168,0.1882055344749962,0.2230426112886828,4.226907635003368,0.2998848378310029,0.2172666717436529,0.2230426112886828,8.62301072519242,0.2998848378310029,0.2230426112886828,0.2998848378310029,0.2048730482602739,3.3459502643911185,0.2296602952270319,13.900071185993724,0.1331706810241709,0.470224895642074,-0.1015342467180014,0.4662233275805817,0.3195472475771655,,0.1882055344749962,4.226907635003368
W4,adaln,168,0.1247804897997881,0.0361138883385582,0.9207976012288684,0.0485018147859532,0.1163162799748374,0.0361138883385582,1.7994253091128114,0.0485018147859532,0.0361138883385582,0.0485018147859532,0.0859957392032954,3.101723237483596,0.1466368207463794,0.4971273807420272,0.492143333640729,0.4765269847158026,-0.6070378633015624,0.3299866636098937,0.036701106044662,,0.1247804897997881,0.9207976012288684
W4,head,168,0.3098629408038446,0.2837614696136202,6.0885617969277055,0.3510070231862615,0.4191497968673412,0.2837614696136202,13.497975119354376,0.3510070231862615,0.2837614696136202,0.3510070231862615,0.6446005443206402,17.848167649073602,0.1936990494140422,9.14778258963515,0.253490026156734,0.2615238519300117,-0.267438844122309,0.3349825586159963,0.4248105510223161,,0.3098629408038446,6.0885617969277055
W8,embed,24,0.2296362508861363,0.3325807601897644,0.058417397425041,0.0092296013656783,-0.2383288767115155,0.3325807601897644,0.069679801602893,0.0092296013656783,0.3325807601897644,0.0092296013656783,0.0018567368351957,0.0366835194472594,-0.4785144902582269,0.1026760837585267,0.6408971149231049,0.0732957940222319,-0.1564114831708569,0.026340970326229,0.0884798909242553,,0.2296362508861363,0.058417397425041
W8,b0-5_attn,24,-0.0022927119595662,-0.0345332401005664,0.004614740088014,0.0006856231658426,-0.0776586033013241,-0.0345332401005664,0.0023438368708817,0.0006856231658426,-0.0345332401005664,0.0006856231658426,-0.008490177259112,0.000844980952056,-0.1468270293435362,0.0038426927897074,-0.010283897127729,0.0111735475102322,-0.0069448599947521,0.0011943811720586,0.0045628072818664,,-0.0022927119595662,0.004614740088014
W8,b0-5_mlp,24,0.0366727756741532,0.0575677698083817,0.0082942400475181,0.0010185416268575,0.1191409544885123,0.0575677698083817,0.006827798928503,0.0010185416268575,0.0575677698083817,0.0010185416268575,0.3014662165234328,0.0092250862321507,-0.063184307546408,0.0044305116248553,-0.0455113811041456,0.0122744648929286,0.0134862229166408,0.0031718252588205,0.0059510278072126,,0.0366727756741532,0.0082942400475181
