scheme,group,lead,mean_physics_share,mean_rmse_share,mean_physics_abs_svr,mean_rmse_abs_svr
W8,adaln,168,-0.09204578995024286,-0.05042185094845971,0.01570843004999369,0.0010175341057017766
W8,head,168,0.10764573198720416,0.356229257355739,0.10348688095048658,0.0027685019495354655
W8A8,embed,24,0.48450433263566045,0.7710130560893086,0.28500602065353864,0.28775751722831394
W8A8,b0-5_attn,24,-0.026136435837093408,0.0027760561256164554,0.005468940960732796,0.0014022294990416785
W8A8,b0-5_mlp,24,0.07850327195364712,0.014497756310711818,0.037948036122526965,0.008269868214590264
W8A8,b6-11_attn,24,-0.00829443732106,0.037568552828594996,0.008186280627223382,0.012406361383760845
W8A8,b6-11_mlp,24,0.04691207019148452,0.061606550926548063,0.01863407868396934,0.022816293305193216
W8A8,b12-17_attn,24,0.005862230142147379,0.005792497601440336,0.007835373024060082,0.0029520814478071287
W8A8,b12-17_mlp,24,0.04604033546275472,0.024140038536080443,0.02557090900827143,0.00962808050456918
W8A8,b18-23_attn,24,0.03850861208577927,0.014679563069833278,0.01185006102085585,0.005338916229390009
W8A8,b18-23_mlp,24,0.08860910405120348,0.10895256240934632,0.10412936125180797,0.041116878586116574
W8A8,adaln,24,-0.00016546641390133683,-0.0042575624818858085,0.004841799778097174,0.0033457099186893456
W8A8,head,24,0.03982024426751724,0.05084603520832781,0.037763929673192524,0.016332490802889465
W8A8,embed,72,0.562172656754054,0.7027568244986157,0.3474845417308498,0.0715755067278571
W8A8,b0-5_attn,72,0.0020277545503169184,0.03282122910742146,0.004927715018158884,0.0014676908263999654
W8A8,b0-5_mlp,72,0.07409726788478067,-0.29326140441041726,0.052092465317810796,0.010027016573556792
W8A8,b6-11_attn,72,0.012788094774042122,0.18748162089021483,0.009753660455020427,0.007217753601684219
W8A8,b6-11_mlp,72,0.04740282741841397,0.14710186233838993,0.025012795192792106,0.010204395017583535
W8A8,b12-17_attn,72,0.012700793281434744,0.03793450595177738,0.008722846280773038,0.0016907556878747942
W8A8,b12-17_mlp,72,0.05987276674766777,-0.09527578617153887,0.03700937298178792,0.006163090537634038
W8A8,b18-23_attn,72,-0.0010436439558122257,0.14228851283727637,0.017418280483827916,0.005782705458595748
W8A8,b18-23_mlp,72,0.07646084525567277,0.2713162071116601,0.14613349631654296,0.015244228782212548
W8A8,adaln,72,0.006531958897685665,-0.03029676336952151,0.006807557930209919,0.0014126168160668708
W8A8,head,72,0.10461815202863724,0.1491191824049851,0.05702370377160246,0.006926803354353501
W8A8,embed,120,0.45589284623523024,0.9110038473309491,0.40381829714702777,0.03570529400381869
W8A8,b0-5_attn,120,-0.0009631546794883634,0.01910182199465119,0.004981324102769695,0.0011138805643222357
W8A8,b0-5_mlp,120,0.07488330066971594,-0.49490906923050365,0.05218231553555714,0.010171938853827155
W8A8,b6-11_attn,120,0.007538626403391804,0.3449448802009118,0.01185416790312637,0.007245597975279638
W8A8,b6-11_mlp,120,-0.00015729804979402743,0.23190007894479311,0.027835362492869158,0.007916028440176477
W8A8,b12-17_attn,120,0.010330471713726575,0.042133372300131255,0.00991878354832613,0.0012462678719130057
W8A8,b12-17_mlp,120,0.01872346373867679,-0.130489466924324,0.037561330593803226,0.0032425172483934142
W8A8,b18-23_attn,120,-0.0020181052996770367,0.21375528322497153,0.0243843258777808,0.004647623184862485
W8A8,b18-23_mlp,120,0.1321744072607912,0.1412389978645977,0.20250710207400477,0.004662879841549561
W8A8,adaln,120,0.003034577894415767,-0.009801738282763307,0.00877321355208444,0.0003002899208313675
W8A8,head,120,0.12414400590017972,0.08017251389227205,0.0863302187312617,0.002629857635091899
W8A8,embed,168,0.4276489616129474,0.523744230939868,0.4585671754987843,0.015948893088342558
W8A8,b0-5_attn,168,-0.0015003288278558782,0.015783480123722205,0.0071371543136469024,0.000996355262202881
W8A8,b0-5_mlp,168,0.05790365352397693,-0.5203295832015931,0.05160659739788608,0.011268723745224871
W8A8,b6-11_attn,168,-0.007744167180069347,0.33351297697283866,0.017455104789325052,0.006404370942488414
W8A8,b6-11_mlp,168,0.0247010365076659,0.07481531590205565,0.02789944075503117,0.0022554789067483574
W8A8,b12-17_attn,168,0.012435239447193441,0.04072020450355621,0.012528841424439338,0.0012384880083462805
W8A8,b12-17_mlp,168,0.029745568258428338,-0.05118735796258831,0.04365725104800596,0.0021427506009613225
W8A8,b18-23_attn,168,0.010732465321468303,0.219737891298268,0.03210741237016717,0.005157129911942241
W8A8,b18-23_mlp,168,0.23344675465657413,0.20265688147480498,0.24920081431294872,0.004739792357990498
