group,metric,lead,fp32_mean,group_mean,mean_delta,ci_lo,ci_hi,rel_pct,svr,svr_ci_lo,svr_ci_hi,distortion,share,norm,rank,significant,lag1_autocorr,n,n_eff
adaln,RMSE T2M,120,1.3044879337151845,1.3040246764818828,-0.0004632572333017985,-0.00842285007238388,0.004495380756755662,-0.03551257327328747,-0.0037377402712230603,-0.06795884370684702,0.03627048749837966,0.0037377402712230603,-0.0030501063076477076,share,11,False,0.004853683523256543,48,47.53629704913965
head,RMSE T2M,120,1.3044879337151845,1.341225951910019,0.03673801819483439,0.030692075130840143,0.04245406532039245,2.816278881952126,0.29641667786393716,0.24763564813937597,0.3425359783250018,0.29641667786393716,0.2418847520801476,share,2,True,0.006147171927544019,48,47.41347695296536
embed,SpecDiv> Z500,120,0.0028864533402762995,0.002481132269167574,-0.00040532107110872556,-0.0004974501657973936,-0.0003135656904608671,-14.042183376154181,-0.3399697707132262,-0.41724457686047883,-0.26300842341581526,0.3399697707132262,0.702448722205567,share,2,True,0.021206825816882664,48,46.00642217917783
b0-5_attn,SpecDiv> Z500,120,0.0028864533402762995,0.002901506345854917,1.5053005578617254e-05,-1.0529739059469042e-05,4.4280990853925076e-05,0.5215052455057644,0.012625958085792827,-0.008831993273691732,0.03714141548669981,0.012625958085792827,-0.026087872769922055,share,10,False,0.17488554351940652,48,33.71008702041646
b0-5_mlp,SpecDiv> Z500,120,0.0028864533402762995,0.0028631652506495207,-2.3288089626779158e-05,-4.6105141033573695e-05,3.1446374123333868e-06,-0.8068063772875661,-0.019533271411496408,-0.038671451703729535,0.0026376167839555474,0.019533271411496408,0.040359828212709906,share,9,False,-0.04232662345786092,48,52.24294540444067
b6-11_attn,SpecDiv> Z500,120,0.0028864533402762995,0.002958996621600818,7.254328132451822e-05,7.835479057879033e-06,0.00016620969969759848,2.5132324265312453,0.06084688035393529,0.00657213801258524,0.1394111422382706,0.06084688035393529,-0.1257223936856161,share,7,True,-0.03620932098829797,48,51.606690633739156
b6-11_mlp,SpecDiv> Z500,120,0.0028864533402762995,0.002901423375684923,1.4970035408623517e-05,-2.6972028050901522e-05,5.660549607758485e-05,0.518630777769321,0.012556365479635814,-0.022623235863491468,0.04747879864711694,0.012556365479635814,-0.02594407987572622,share,11,False,-0.03629955006399348,48,51.61601658105978
b12-17_attn,SpecDiv> Z500,120,0.0028864533402762995,0.003005675292418649,0.00011922195214234914,8.268326024942022e-05,0.0001577387095191322,4.130395959594375,0.09999938967630226,0.06935195585051898,0.13230595873322987,0.09999938967630226,-0.20661967489664895,share,5,True,0.021642369365609416,48,45.96634563972847
b12-17_mlp,SpecDiv> Z500,120,0.0028864533402762995,0.0027315769184497185,-0.00015487642182658115,-0.00020668494689743966,-9.662655653907378e-05,-5.365630535768714,-0.12990516745956118,-0.1733604271161841,-0.08104712686547107,0.12990516745956118,0.26841127285649835,share,3,True,-0.01631648913525772,48,49.59236475927888
b18-23_attn,SpecDiv> Z500,120,0.0028864533402762995,0.0029166041543552033,3.0150814078903448e-05,-2.3747327153008275e-05,7.163293624519912e-05,1.0445626699795303,0.02528949536519976,-0.01991846450315569,0.0600833133204242,0.02528949536519976,-0.052253392021413235,share,8,False,0.050180534508788205,48,43.41285411931871
