# per (initialisation, variable) RMSE for the config and FP32. source=harness_results.pt. Raw material for the POOLED bootstrap: pooling happens inside each resample, so a pre-collapsed degradation series cannot produce it.
tag,lead,init,var,r_cfg,r_ref
ceiling,24,20,2m_temperature,0.6904352307,0.6904422641
ceiling,24,20,mean_sea_level_pressure,51.92584991,51.94327545
ceiling,24,20,specific_humidity_700,0.0006566452212,0.0006562966155
ceiling,24,20,u_component_of_wind_500,1.552927613,1.552247763
ceiling,24,20,v_component_of_wind_500,1.572609186,1.572489023
ceiling,24,21,geopotential_500,46.76457214,46.78585052
ceiling,24,21,temperature_850,0.6470081806,0.6475715637
ceiling,24,21,2m_temperature,0.686324656,0.686563611
ceiling,24,21,mean_sea_level_pressure,56.71482468,56.73345184
ceiling,24,21,specific_humidity_700,0.0006519174203,0.0006520880852
ceiling,24,21,u_component_of_wind_500,1.598178387,1.598017097
ceiling,24,21,v_component_of_wind_500,1.593973517,1.593748689
ceiling,24,22,geopotential_500,46.20944595,46.2052269
ceiling,24,22,temperature_850,0.6328882575,0.6326702237
ceiling,24,22,2m_temperature,0.6864725947,0.6860425472
ceiling,24,22,mean_sea_level_pressure,52.65921402,52.65403366
ceiling,24,22,specific_humidity_700,0.0006352842902,0.0006353618228
ceiling,24,22,u_component_of_wind_500,1.538132071,1.53818953
ceiling,24,22,v_component_of_wind_500,1.57094717,1.570795178
ceiling,24,23,geopotential_500,49.70359802,49.68392944
ceiling,24,23,temperature_850,0.6579820514,0.658538878
ceiling,24,23,2m_temperature,0.6945048571,0.6944922805
ceiling,24,23,mean_sea_level_pressure,54.59519577,54.562397
ceiling,24,23,specific_humidity_700,0.0006321555702,0.0006319741951
ceiling,24,23,u_component_of_wind_500,1.548318505,1.547534347
ceiling,24,23,v_component_of_wind_500,1.548779726,1.548464656
ceiling,24,24,geopotential_500,51.37662125,51.42375946
ceiling,24,24,temperature_850,0.645560801,0.6457231045
ceiling,24,24,2m_temperature,0.7164853811,0.7167750001
ceiling,24,24,mean_sea_level_pressure,56.20450592,56.27797699
ceiling,24,24,specific_humidity_700,0.0006274257321,0.000627098023
ceiling,24,24,u_component_of_wind_500,1.601110101,1.600166678
ceiling,24,24,v_component_of_wind_500,1.635408521,1.63443315
ceiling,24,25,geopotential_500,45.25548935,45.27160263
ceiling,24,25,temperature_850,0.6514071226,0.6516268253
ceiling,24,25,2m_temperature,0.664560318,0.6648727059
ceiling,24,25,mean_sea_level_pressure,52.76488495,52.77639008
ceiling,24,25,specific_humidity_700,0.0006343235727,0.0006341880071
ceiling,24,25,u_component_of_wind_500,1.575103641,1.575102568
ceiling,24,25,v_component_of_wind_500,1.569541693,1.569141269
ceiling,24,26,geopotential_500,48.04449463,48.10354996
ceiling,24,26,temperature_850,0.6379488111,0.6377339363
ceiling,24,26,2m_temperature,0.7097478509,0.709721148
ceiling,24,26,mean_sea_level_pressure,51.24954605,51.21105194
ceiling,24,26,specific_humidity_700,0.000644122716,0.0006440838333
ceiling,24,26,u_component_of_wind_500,1.526621342,1.526182175
ceiling,24,26,v_component_of_wind_500,1.599303007,1.598702073
ceiling,24,27,geopotential_500,48.61060333,48.61541367
ceiling,24,27,temperature_850,0.6681498289,0.668340385
ceiling,24,27,2m_temperature,0.6811128259,0.6812771559
ceiling,24,27,mean_sea_level_pressure,57.05223465,57.0860405
ceiling,24,27,specific_humidity_700,0.0006404015585,0.0006404375308
ceiling,24,27,u_component_of_wind_500,1.619002581,1.618848085
ceiling,24,27,v_component_of_wind_500,1.616975784,1.617707729
ceiling,24,28,geopotential_500,52.88611603,52.87088776
ceiling,24,28,temperature_850,0.6398010254,0.6397746205
ceiling,24,28,2m_temperature,0.7033601403,0.7041845322
ceiling,24,28,mean_sea_level_pressure,52.33433533,52.33252335
ceiling,24,28,specific_humidity_700,0.0006248047575,0.0006246496923
ceiling,24,28,u_component_of_wind_500,1.513883948,1.51435101
ceiling,24,28,v_component_of_wind_500,1.510577917,1.510927916
ceiling,24,29,geopotential_500,53.52838135,53.55161667
ceiling,24,29,temperature_850,0.6774193645,0.6778603792
ceiling,24,29,2m_temperature,0.6615771055,0.661685884
ceiling,24,29,mean_sea_level_pressure,54.03497314,54.04300308
ceiling,24,29,specific_humidity_700,0.0006443014718,0.0006444964092
ceiling,24,29,u_component_of_wind_500,1.576722503,1.576449156
ceiling,24,29,v_component_of_wind_500,1.579010367,1.579564214
ceiling,24,30,geopotential_500,49.08825302,49.09821701
ceiling,24,30,temperature_850,0.6682239175,0.6682517529
ceiling,24,30,2m_temperature,0.672617197,0.6728346944
ceiling,24,30,mean_sea_level_pressure,52.65822983,52.6752739
ceiling,24,30,specific_humidity_700,0.0006374778459,0.0006372018252
ceiling,24,30,u_component_of_wind_500,1.491454124,1.491950989
ceiling,24,30,v_component_of_wind_500,1.485526562,1.48625052
ceiling,24,31,geopotential_500,45.24428558,45.32421112
ceiling,24,31,temperature_850,0.667109251,0.6672905087
ceiling,24,31,2m_temperature,0.6437706947,0.6438829899
ceiling,24,31,mean_sea_level_pressure,49.12527847,49.22889328
ceiling,24,31,specific_humidity_700,0.0006553854328,0.0006551896804
ceiling,24,31,u_component_of_wind_500,1.549466968,1.549927831
ceiling,24,31,v_component_of_wind_500,1.622756243,1.623878598
ceiling,24,32,geopotential_500,44.41608429,44.38948822
ceiling,24,32,temperature_850,0.6294853687,0.6297834516
ceiling,24,32,2m_temperature,0.6469159722,0.647063911
ceiling,24,32,mean_sea_level_pressure,53.01786041,52.94287491
ceiling,24,32,specific_humidity_700,0.0006107035442,0.0006108311936
ceiling,24,32,u_component_of_wind_500,1.532055855,1.53209877
ceiling,24,32,v_component_of_wind_500,1.517686725,1.517648101
ceiling,24,33,geopotential_500,53.23207092,53.23667145
ceiling,24,33,temperature_850,0.6718082428,0.6717938781
ceiling,24,33,2m_temperature,0.6552962661,0.6552804708
ceiling,24,33,mean_sea_level_pressure,53.16450119,53.09270477
ceiling,24,33,specific_humidity_700,0.0006122942432,0.0006121830083
ceiling,24,33,u_component_of_wind_500,1.569373965,1.568487763
ceiling,24,33,v_component_of_wind_500,1.552073836,1.551505566
ceiling,24,34,geopotential_500,45.76741028,45.82235336
ceiling,24,34,temperature_850,0.6626195312,0.6629862785
ceiling,24,34,2m_temperature,0.6554670334,0.6553499699
ceiling,24,34,mean_sea_level_pressure,50.98166656,51.00352859
ceiling,24,34,specific_humidity_700,0.0006159531767,0.0006158619071
ceiling,24,34,u_component_of_wind_500,1.480869889,1.480434656
