var,tag,lead,k,ratio
Z500,W8A8_floor,120,309,4.803293962
Z500,W8A8_floor,120,310,4.748168772
Z500,W8A8_floor,120,311,4.767754947
Z500,W8A8_floor,120,312,4.801296949
Z500,W8A8_floor,120,313,4.653230207
Z500,W8A8_floor,120,314,4.489409814
Z500,W8A8_floor,120,315,4.531334075
Z500,W8A8_floor,120,316,4.537459082
Z500,W8A8_floor,120,317,4.448956828
Z500,W8A8_floor,120,318,4.29666371
Z500,W8A8_floor,120,319,4.400307424
Z500,W8A8_floor,120,320,4.180682063
Z500,W8A8_floor,120,321,4.119425836
Z500,W8A8_floor,120,322,4.125733188
Z500,W8A8_floor,120,323,4.082189271
Z500,W8A8_floor,120,324,4.044183006
Z500,W8A8_floor,120,325,4.087291412
Z500,W8A8_floor,120,326,4.116539056
Z500,W8A8_floor,120,327,3.937273642
Z500,W8A8_floor,120,328,3.916952762
Z500,W8A8_floor,120,329,4.000696851
Z500,W8A8_floor,120,330,3.708299384
Z500,W8A8_floor,120,331,3.823592535
Z500,W8A8_floor,120,332,3.812451324
Z500,W8A8_floor,120,333,3.732021851
Z500,W8A8_floor,120,334,3.731486594
Z500,W8A8_floor,120,335,3.638336842
Z500,W8A8_floor,120,336,3.722567969
Z500,W8A8_floor,120,337,3.595851213
Z500,W8A8_floor,120,338,3.485381267
Z500,W8A8_floor,120,339,3.418743213
Z500,W8A8_floor,120,340,3.388461317
Z500,W8A8_floor,120,341,3.269896823
Z500,W8A8_floor,120,342,3.275440106
Z500,W8A8_floor,120,343,3.222632326
Z500,W8A8_floor,120,344,3.142496615
Z500,W8A8_floor,120,345,3.003202651
Z500,W8A8_floor,120,346,2.950879297
Z500,W8A8_floor,120,347,2.754598044
Z500,W8A8_floor,120,348,2.718338384
Z500,W8A8_floor,120,349,2.653671845
Z500,W8A8_floor,120,350,2.541927377
Z500,W8A8_floor,120,351,2.414874085
Z500,W8A8_floor,120,352,2.449594554
Z500,W8A8_floor,120,353,2.323916306
Z500,W8A8_floor,120,354,2.144110748
Z500,W8A8_floor,120,355,2.125384467
Z500,W8A8_floor,120,356,2.383134232
Z500,W8A8_floor,120,357,2.044173942
Z500,W8A8_floor,120,358,1.453226103
Z500,W8A8_floor,120,359,1.814893416
Z500,W8A8_floor,120,360,2.290814264
Z500,W8A8_floor,120,361,1.803796654
Z500,W8A8_floor,120,362,1.743243019
Z500,W8A8_floor,120,363,2.275514511
Z500,W8A8_floor,120,364,2.786841182
Z500,W8A8_floor,120,365,2.496566273
Z500,W8A8_floor,120,366,2.622114935
Z500,W8A8_floor,120,367,2.773576663
Z500,W8A8_floor,120,368,2.965191884
Z500,W8A8_floor,120,369,3.036729379
Z500,W8A8_floor,120,370,3.089526103
Z500,W8A8_floor,120,371,3.233306126
Z500,W8A8_floor,120,372,3.393059646
Z500,W8A8_floor,120,373,3.412251134
Z500,W8A8_floor,120,374,3.497774968
Z500,W8A8_floor,120,375,3.655469534
Z500,W8A8_floor,120,376,3.876605496
Z500,W8A8_floor,120,377,3.738992487
Z500,W8A8_floor,120,378,3.904171441
Z500,W8A8_floor,120,379,4.015056029
Z500,W8A8_floor,120,380,4.029751195
Z500,W8A8_floor,120,381,4.002066906
Z500,W8A8_floor,120,382,4.026137558
Z500,W8A8_floor,120,383,4.160752044
Z500,W8A8_floor,120,384,4.233091255
Z500,W8A8_floor,120,385,4.22466813
